humidity_1year,humidity_3days,humidity_2days,humidity_1days,pressure_1year,pressure_3days,pressure_2days,pressure_1days,temperature_1year,temperature_3days,temperature_2days,temperature_1days,converted_1year,converted_3days,converted_2days,converted_1days,wind_direction_1year,wind_direction_3days,wind_direction_2days,wind_direction_1days,wind_speed_1year,wind_speed_3days,wind_speed_2days,wind_speed_1days,humidity_today,pressure_today,temperature_today,converted_today,wind_direction_today,wind_speed_today
66.6470588235294,51.375,36.333333333333336,41.916666666666664,1027.125,1024.0833333333333,1017.75,1020.9583333333334,286.2285713206667,287.10227777779164,292.45878124999996,286.38496944445836,2.2916666666666665,3.0,3.0,3.0,143.70833333333334,246.58333333333334,175.54166666666666,218.45833333333334,1.875,0.875,1.0416666666666667,1.9583333333333333,51.125,1020.7083333333334,285.91405833333334,3.0,166.5,2.2916666666666665
36.869565217391305,36.333333333333336,41.916666666666664,51.125,1019.3333333333334,1017.75,1020.9583333333334,1020.7083333333334,288.7475,292.45878124999996,286.38496944445836,285.91405833333334,2.3333333333333335,3.0,3.0,3.0,108.33333333333333,175.54166666666666,218.45833333333334,166.5,1.9166666666666667,1.0416666666666667,1.9583333333333333,2.2916666666666665,74.66666666666667,1013.0416666666666,285.18834375,2.5833333333333335,163.20833333333334,1.2916666666666667
14.75,41.916666666666664,51.125,74.66666666666667,1014.1666666666666,1020.9583333333334,1020.7083333333334,1013.0416666666666,291.5933333333333,286.38496944445836,285.91405833333334,285.18834375,2.5416666666666665,3.0,3.0,2.5833333333333335,175.83333333333334,218.45833333333334,166.5,163.20833333333334,3.1666666666666665,1.9583333333333333,2.2916666666666665,1.2916666666666667,93.45833333333333,1014.0833333333334,278.8770833333333,2.7916666666666665,197.91666666666666,3.4583333333333335
49.5,51.125,74.66666666666667,93.45833333333333,1024.7083333333333,1020.7083333333334,1013.0416666666666,1014.0833333333334,280.70937499999997,285.91405833333334,285.18834375,278.8770833333333,2.4583333333333335,3.0,2.5833333333333335,2.7916666666666665,96.04166666666667,166.5,163.20833333333334,197.91666666666666,1.8333333333333333,2.2916666666666665,1.2916666666666667,3.4583333333333335,66.0,1024.6666666666667,279.76979166666666,2.125,325.125,4.541666666666667
66.0952380952381,74.66666666666667,93.45833333333333,66.0,1023.125,1013.0416666666666,1014.0833333333334,1024.6666666666667,275.71729166666665,285.18834375,278.8770833333333,279.76979166666666,2.3333333333333335,2.5833333333333335,2.7916666666666665,2.125,303.9166666666667,163.20833333333334,197.91666666666666,325.125,3.1666666666666665,1.2916666666666667,3.4583333333333335,4.541666666666667,39.708333333333336,1028.5416666666667,286.5152083333333,2.6666666666666665,251.91666666666666,3.0
79.9090909090909,93.45833333333333,66.0,39.708333333333336,1024.25,1014.0833333333334,1024.6666666666667,1028.5416666666667,274.16124999999994,278.8770833333333,279.76979166666666,286.5152083333333,2.7083333333333335,2.7916666666666665,2.125,2.6666666666666665,95.83333333333333,197.91666666666666,325.125,251.91666666666666,2.7083333333333335,3.4583333333333335,4.541666666666667,3.0,51.666666666666664,1023.2916666666666,286.43360416666667,2.75,186.41666666666666,1.125
63.0,66.0,39.708333333333336,51.666666666666664,1021.7916666666666,1024.6666666666667,1028.5416666666667,1023.2916666666666,275.7225,279.76979166666666,286.5152083333333,286.43360416666667,2.4166666666666665,2.125,2.6666666666666665,2.75,153.33333333333334,325.125,251.91666666666666,186.41666666666666,1.875,4.541666666666667,3.0,1.125,45.583333333333336,1010.0416666666666,288.99513541666664,2.5416666666666665,199.20833333333334,1.4166666666666667
32.611111111111114,39.708333333333336,51.666666666666664,45.583333333333336,1015.3333333333334,1028.5416666666667,1023.2916666666666,1010.0416666666666,281.71729166666665,286.5152083333333,286.43360416666667,288.99513541666664,2.5416666666666665,2.6666666666666665,2.75,2.5416666666666665,155.0,251.91666666666666,186.41666666666666,199.20833333333334,2.75,3.0,1.125,1.4166666666666667,49.625,950.7916666666666,284.47775,2.6666666666666665,177.95833333333334,2.0416666666666665
22.307692307692307,51.666666666666664,45.583333333333336,49.625,1003.0833333333334,1023.2916666666666,1010.0416666666666,950.7916666666666,282.26437500000003,286.43360416666667,288.99513541666664,284.47775,2.4166666666666665,2.75,2.5416666666666665,2.6666666666666665,157.375,186.41666666666666,199.20833333333334,177.95833333333334,2.875,1.125,1.4166666666666667,2.0416666666666665,79.5,1044.4583333333333,278.81187500000004,2.1666666666666665,228.20833333333334,2.625
36.13333333333333,45.583333333333336,49.625,79.5,931.5416666666666,1010.0416666666666,950.7916666666666,1044.4583333333333,284.5995833333333,288.99513541666664,284.47775,278.81187500000004,2.5833333333333335,2.5416666666666665,2.6666666666666665,2.1666666666666665,134.33333333333334,199.20833333333334,177.95833333333334,228.20833333333334,2.125,1.4166666666666667,2.0416666666666665,2.625,65.70833333333333,1028.25,280.671875,2.2916666666666665,231.5,3.0416666666666665
45.333333333333336,49.625,79.5,65.70833333333333,1018.8333333333334,950.7916666666666,1044.4583333333333,1028.25,284.9241666666667,284.47775,278.81187500000004,280.671875,2.1666666666666665,2.6666666666666665,2.1666666666666665,2.2916666666666665,141.25,177.95833333333334,228.20833333333334,231.5,2.1666666666666665,2.0416666666666665,2.625,3.0416666666666665,72.70833333333333,1018.7083333333334,280.9267569444583,2.4583333333333335,166.41666666666666,1.3333333333333333
